run,label_mode,merge_person_labels,min_clip_score,owl_threshold,posthoc_merge_person,sample,stage,points,assigned_points,assigned_ratio,mapped_accuracy,macro_precision,macro_recall,macro_iou,classes_scored
ovsam3d_ablation_hybrid_merge_person_nuscenes_mini,hybrid,True,0.12,0.06,True,sample_000,box,34688,10786,0.31094326568265684,0.07157445228369848,0.12736826167296295,0.2553531085427112,0.11494400521646406,13
ovsam3d_ablation_hybrid_merge_person_nuscenes_mini,hybrid,True,0.12,0.06,True,sample_000,sam,34688,5934,0.17106780442804428,0.13408860331416977,0.1577114492784859,0.24618150155274107,0.1325976973867076,13
ovsam3d_ablation_hybrid_merge_person_nuscenes_mini,hybrid,True,0.12,0.06,True,sample_001,box,34720,12877,0.37088133640552995,0.2308888716074345,0.17880085335930065,0.23246601678936119,0.09908085516096182,12
ovsam3d_ablation_hybrid_merge_person_nuscenes_mini,hybrid,True,0.12,0.06,True,sample_001,sam,34720,8612,0.24804147465437787,0.335658644343681,0.3064976652578495,0.2175987830402744,0.11915103614400809,13
ovsam3d_ablation_hybrid_merge_person_nuscenes_mini,hybrid,True,0.12,0.06,True,sample_002,box,34720,5361,0.15440668202764976,0.036350009368559116,0.14071556207762656,0.10844713597333157,0.06834640878998721,13
ovsam3d_ablation_hybrid_merge_person_nuscenes_mini,hybrid,True,0.12,0.06,True,sample_002,sam,34720,3655,0.10527073732718895,0.044866501513900356,0.1949291116532013,0.10555790460119631,0.07147629644148079,13
ovsam3d_ablation_hybrid_merge_person_nuscenes_mini,hybrid,True,0.12,0.06,True,sample_003,box,34688,11349,0.3271736623616236,0.23968981318293972,0.16520735300419098,0.2421391975628377,0.11204359898894234,13
ovsam3d_ablation_hybrid_merge_person_nuscenes_mini,hybrid,True,0.12,0.06,True,sample_003,sam,34688,9200,0.26522140221402213,0.3358695652173913,0.22801641268567435,0.22289085960664898,0.15002525129561134,13
ovsam3d_ablation_hybrid_merge_person_nuscenes_mini,hybrid,True,0.12,0.06,True,sample_004,box,34752,12055,0.3468865101289134,0.3410769103127852,0.16417278655138706,0.294294505310514,0.12746160886935468,12
ovsam3d_ablation_hybrid_merge_person_nuscenes_mini,hybrid,True,0.12,0.06,True,sample_004,sam,34752,7446,0.2142610497237569,0.4889187374076561,0.22919522867166886,0.2626902594045992,0.16124817071921482,12
