run,label_mode,merge_person_labels,min_clip_score,owl_threshold,posthoc_merge_person,stage,group,total_points,assigned_points,assigned_ratio,group_pred_points,group_pred_ratio,group_gt_points,group_gt_ratio,tp,assigned_accuracy,micro_precision,micro_recall,micro_iou,macro_precision,macro_recall,macro_iou,classes_scored,frequent_object_min_gt,classes
ovsam3d_ablation_hybrid_merge_person_nuscenes_mini,hybrid,True,0.12,0.06,True,box,stuff,173568,52428,0.3020602876106195,4706,0.027113292772861355,97312,0.5606563421828908,2067,0.43922651933701656,0.43922651933701656,0.02124095692206511,0.020680133265299997,0.10980662983425414,0.008757732395559699,0.008382810979170723,4,,"building, road, sidewalk, vegetation"
ovsam3d_ablation_hybrid_merge_person_nuscenes_mini,hybrid,True,0.12,0.06,True,box,frequent_object,173568,52428,0.3020602876106195,40201,0.23161527470501475,23244,0.1339186946902655,8698,0.21636277704534712,0.21636277704534712,0.37420409568060575,0.15887628545856394,0.31566582397922477,0.5743207484479933,0.20599050931053858,5,100,"barrier, car, pedestrian, traffic cone, truck"
ovsam3d_ablation_hybrid_merge_person_nuscenes_mini,hybrid,True,0.12,0.06,True,sam,full,173568,34847,0.20076857485250738,34793,0.20045745759587022,120606,0.6948631084070797,10573,0.30388296496421696,0.30388296496421696,0.08766562194252359,0.07300484719594548,0.26434487387978256,0.19386184616824167,0.09167450118482956,14,,"barrier, bicycle, building, bus, car, construction vehicle, motorcycle, pedestrian, road, sidewalk, traffic cone, trailer, truck, vegetation"
ovsam3d_ablation_hybrid_merge_person_nuscenes_mini,hybrid,True,0.12,0.06,True,sam,object,173568,34847,0.20076857485250738,31853,0.18351885140117993,23294,0.13420676622418878,8574,0.2691740181458575,0.2691740181458575,0.368077616553619,0.18409808258003565,0.2022208015737721,0.26796565646059767,0.12495623486014973,10,,"barrier, bicycle, bus, car, construction vehicle, motorcycle, pedestrian, traffic cone, trailer, truck"
ovsam3d_ablation_hybrid_merge_person_nuscenes_mini,hybrid,True,0.12,0.06,True,sam,stuff,173568,34847,0.20076857485250738,2940,0.016938606194690266,97312,0.5606563421828908,1999,0.6799319727891157,0.6799319727891157,0.02054217362709635,0.020345434744995065,0.41965505464480873,0.008602320437351657,0.008470166996529159,4,,"building, road, sidewalk, vegetation"
ovsam3d_ablation_hybrid_merge_person_nuscenes_mini,hybrid,True,0.12,0.06,True,sam,frequent_object,173568,34847,0.20076857485250738,25917,0.14931899889380532,23244,0.1339186946902655,8574,0.33082532700544043,0.33082532700544043,0.36886938564790916,0.21124990760588366,0.4044416031475442,0.5359313129211953,0.24991246972029946,5,100,"barrier, car, pedestrian, traffic cone, truck"
ovsam3d_ablation_owl_merge_person_nuscenes_mini,owl,True,0.12,0.06,True,box,full,173568,52428,0.3020602876106195,52281,0.30121335730088494,120606,0.6948631084070797,17156,0.32814980585681225,0.32814980585681225,0.1422483126875943,0.11016432181132851,0.1295169020618109,0.2599615029604751,0.09686619136402141,13,,"barrier, bicycle, building, bus, car, construction vehicle, pedestrian, road, sidewalk, traffic cone, trailer, truck, vegetation"
ovsam3d_ablation_owl_merge_person_nuscenes_mini,owl,True,0.12,0.06,True,box,object,173568,52428,0.3020602876106195,52281,0.30121335730088494,23294,0.13420676622418878,17156,0.32814980585681225,0.32814980585681225,0.7364986691851979,0.29367157945189065,0.18707996964483797,0.37549994872068626,0.13991783197025315,9,,"barrier, bicycle, bus, car, construction vehicle, pedestrian, traffic cone, trailer, truck"
ovsam3d_ablation_owl_merge_person_nuscenes_mini,owl,True,0.12,0.06,True,box,stuff,173568,52428,0.3020602876106195,0,0.0,97312,0.5606563421828908,0,,,0.0,0.0,0.0,0.0,0.0,4,,"building, road, sidewalk, vegetation"
ovsam3d_ablation_owl_merge_person_nuscenes_mini,owl,True,0.12,0.06,True,box,frequent_object,173568,52428,0.3020602876106195,46263,0.2665410674778761,23244,0.1339186946902655,17156,0.3708363054708947,0.3708363054708947,0.7380829461366374,0.32771102748753606,0.33674394536070834,0.6758999076972353,0.25185209754645566,5,100,"barrier, car, pedestrian, traffic cone, truck"
ovsam3d_ablation_owl_merge_person_nuscenes_mini,owl,True,0.12,0.06,True,sam,full,173568,34847,0.20076857485250738,34726,0.20007144174041297,120606,0.6948631084070797,16126,0.46437827564360995,0.46437827564360995,0.13370810739100875,0.11584270792925593,0.18887442540582694,0.2541230145472799,0.13443133929829493,13,,"barrier, bicycle, building, bus, car, construction vehicle, pedestrian, road, sidewalk, traffic cone, trailer, truck, vegetation"
ovsam3d_ablation_owl_merge_person_nuscenes_mini,owl,True,0.12,0.06,True,sam,object,173568,34847,0.20076857485250738,34726,0.20007144174041297,23294,0.13420676622418878,16126,0.46437827564360995,0.46437827564360995,0.6922812741478492,0.38492385544469376,0.2728186144750834,0.3670665765682932,0.19417860120864822,9,,"barrier, bicycle, bus, car, construction vehicle, pedestrian, traffic cone, trailer, truck"
ovsam3d_ablation_owl_merge_person_nuscenes_mini,owl,True,0.12,0.06,True,sam,stuff,173568,34847,0.20076857485250738,0,0.0,97312,0.5606563421828908,0,,,0.0,0.0,0.0,0.0,0.0,4,,"building, road, sidewalk, vegetation"
ovsam3d_ablation_owl_merge_person_nuscenes_mini,owl,True,0.12,0.06,True,sam,frequent_object,173568,34847,0.20076857485250738,31883,0.18369169432153393,23244,0.1339186946902655,16126,0.5057867829250697,0.5057867829250697,0.6937704353811737,0.41347657752365324,0.49107350605515004,0.6607198378229279,0.3495214821755668,5,100,"barrier, car, pedestrian, traffic cone, truck"
